model,params,nfe,mae,rmse,crps,mae_original,rmse_original,crps_original,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_batch_size
Baseline,2615233,2,0.2846047580242157,0.6634898781776428,0.2361701505944917,0.09552884101867676,0.22270330786705017,0.07927156637765859,7.313701044768095,0.24753379433965111,6.97561539709568,7.985400967299938,1
Baseline,2615233,4,0.28000402450561523,0.6561529040336609,0.21943745330760353,0.09398459643125534,0.22024065256118774,0.07365515818329234,13.855479508638382,0.10976286912446753,13.66649754345417,14.31932207196951,1
Baseline,2615233,8,0.2782788574695587,0.6524614691734314,0.2127262760149805,0.09340552240610123,0.21900159120559692,0.0714025161180057,27.75053294375539,0.3450281599482104,27.18449756503105,28.77137716859579,1
Baseline,2615233,16,0.2780056893825531,0.6519030928611755,0.2089410535991192,0.09331385791301727,0.2188141644001007,0.07013199064684542,55.57803940959275,0.6085075672155933,54.751026444137096,57.99672566354275,1
Baseline,2615233,32,0.278979629278183,0.6554166674613953,0.20891958184932408,0.09364074468612671,0.2199934870004654,0.07012478873917931,111.29951626062393,0.959590884185563,109.75709557533264,114.41224068403244,1
Improved (OU+OT),2615233,2,0.2861323058605194,0.6421975493431091,0.23550623416116362,0.09604157507419586,0.21555644273757935,0.07904871571809054,14.170616446062922,0.19473122262261663,13.831742107868195,14.935461804270744,1
Improved (OU+OT),2615233,4,0.28158384561538696,0.6365717053413391,0.22693033092900328,0.0945148691534996,0.2136681228876114,0.07617017988507685,21.153691355139017,0.30669494234553757,20.743925124406815,22.026370279490948,1
Improved (OU+OT),2615233,8,0.2781558334827423,0.636168360710144,0.2199930782380857,0.09336424618959427,0.2135327160358429,0.07384164296090603,35.05284070037305,0.5635716684421513,34.25900824368,36.94983012974262,1
Improved (OU+OT),2615233,16,0.27617326378822327,0.6384512186050415,0.2155983398619451,0.09269877523183823,0.21429897844791412,0.07236653523225534,64.34762770310044,6.6295930383320885,61.38478312641382,104.29575387388468,1
Improved (OU+OT),2615233,32,0.27576377987861633,0.6422986388206482,0.21311010134063268,0.09256134927272797,0.21559038758277893,0.07153134855784868,119.6221864502877,8.571191040213277,116.35206174105406,189.68559801578522,1
